frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
357,11912.5,9,403,631,,,,,,,,,,,,,,,
358,11944.7,9,401,625,,,,,,,,,,,,,,,
359,11976.8,9,397,621,,,,,,,,,,,,,,,
360,12013.0,9,395,616,,,,,,,,,,,,,,,
361,12044.5,8,392,613,,,,,,,,,,,,,,,
362,12078.8,9,389,609,,,,,,,,,,,,,,,
363,12109.0,9,385,607,,,,,,,,,,,,,,,
364,12144.7,9,382,605,,,,,,,,,,,,,,,
365,12177.1,9,379,603,,,,,,,,,,,,,,,
366,12208.7,9,376,602,,,,,,,,,,,,,,,
367,12244.9,8,373,603,,,,,,,,,,,,,,,
368,12276.7,8,369,603,,,,,,,,,,,,,,,
369,12312.4,8,365,605,,,,,,,,,,,,,,,
370,12344.6,8,362,606,,,,,,,,,,,,,,,
371,12377.1,9,359,608,,,,,,,,,,,,,,,
372,12412.7,9,355,611,,,,,,,,,,,,,,,
373,12444.8,9,352,614,,,,,,,,,,,,,,,
374,12477.1,9,348,618,,,,,,,,,,,,,,,
375,12512.6,9,344,623,,,,,,,,,,,,,,,
376,12544.6,9,341,629,,,,,,,,,,,,,,,
377,12576.9,9,337,635,,,,,,,,,,,,,,,
378,12608.7,9,334,642,,,,,,,,,,,,,,,
379,12649.0,9,330,648,,,,,,,,,,,,,,,
380,12677.4,9,326,656,,,,,,,,,,,,,,,
381,12713.3,10,322,665,,,,,,,,,,,,,,,
382,12744.5,10,318,673,,,,,,,,,,,,,,,
383,12776.6,10,315,683,,,,,,,,,,,,,,,
384,12812.7,10,311,693,,,,,,,,,,,,,,,
385,12844.7,10,307,704,,,,,,,,,,,,,,,
386,12876.7,10,304,716,,,,,,,,,,,,,,,
387,12908.7,10,301,728,,,,,,,,,,,,,,,
388,12944.7,10,297,741,,,,,,,,,,,,,,,
