frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
1132,38804.9,10,415,105,,,,,,,,,,,,,,,
1133,38841,9,414,110,,,,,,,,,,,,,,,
1134,38875.5,10,414,117,,,,,,,,,,,,,,,
1135,38905.5,10,414,124,,,,,,,,,,,,,,,
1136,38943.4,10,414,132,,,,,,,,,,,,,,,
1137,38973.4,10,414,141,,,,,,,,,,,,,,,
1138,39005.2,9,413,149,,,,,,,,,,,,,,,
1139,39041,9,413,159,,,,,,,,,,,,,,,
1140,39073.2,10,413,171,,,,,,,,,,,,,,,
1141,39105.3,10,414,183,,,,,,,,,,,,,,,
1142,39143.9,9,414,195,,,,,,,,,,,,,,,
1143,39173.1,10,415,209,,,,,,,,,,,,,,,
1144,39205.2,10,414,223,,,,,,,,,,,,,,,
1145,39241,10,415,237,,,,,,,,,,,,,,,
1146,39275.2,9,415,252,,,,,,,,,,,,,,,
1147,39305.3,9,416,268,,,,,,,,,,,,,,,
1148,39340.8,10,419,285,,,,,,,,,,,,,,,
1149,39373.4,9,418,302,,,,,,,,,,,,,,,
1150,39405.3,9,419,320,,,,,,,,,,,,,,,
1151,39441.1,9,419,339,,,,,,,,,,,,,,,
1152,39473,8,420,359,,,,,,,,,,,,,,,
1153,39505.6,8,421,378,,,,,,,,,,,,,,,
1154,39541.5,8,422,399,,,,,,,,,,,,,,,
1155,39573.3,8,424,421,,,,,,,,,,,,,,,
1156,39605.1,9,426,443,,,,,,,,,,,,,,,
1157,39641.1,8,425,465,,,,,,,,,,,,,,,
1158,39675.1,7,427,487,,,,,,,,,,,,,,,
1173,40205.3,5,450,941,,,,,,,,,,,,,,,
