frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
269,9042.1,10,951,137,,,,,,,8,548,700,,,,,,,,,,,,,,,
270,9078.0,10,957,116,,,,,,,8,560,687,,,,,,,,,,,,,,,
271,9109.9,10,964,98,,,,,,,8,570,674,,,,,,,,,,,,,,,
272,9142.0,10,969,82,,,,,,,9,580,664,,,,,,,,,,,,,,,
273,9178.4,10,973,68,,,,,,,9,586,657,,,,,,,,,,,,,,,
274,9210.8,10,972,68,,,,,,,9,585,657,,,,,,,,,,,,,,,
275,9242.0,10,971,68,,,,,,,9,583,656,,,,,,,,,,,,,,,
276,9278.1,10,971,68,,,,,,,8,583,656,,,,,,,,,,,,,,,
277,9310.5,10,972,69,,,,,,,9,583,656,,,,,,,,,,,,,,,
278,9342.3,10,974,72,,,,,,,9,583,658,,,,,,,,,,,,,,,
279,9378.2,10,978,77,,,,,,,9,581,661,,,,,,,,,,,,,,,
280,9410.2,10,981,85,,,,,,,9,581,667,,,,,,,,,,,,,,,
281,9442.1,10,986,96,,,,,,,9,579,674,,,,,,,,,,,,,,,
282,9479.4,10,990,109,,,,,,,8,577,684,,,,,,,,,,,,,,,
283,9510.0,10,994,126,,,,,,,9,575,694,,,,,,,,,,,,,,,
284,9542.3,10,997,144,,,,,,,8,571,708,,,,,,,,,,,,,,,
285,9578.2,10,999,164,,,,,,,7,566,723,,,,,,,,,,,,,,,
286,9612.6,10,1000,184,,,,,,,8,563,738,,,,,,,,,,,,,,,
287,9642.2,10,1000,203,,,,,,,9,557,752,,,,,,,,,,,,,,,
288,9678.0,10,999,223,,,,,,,8,551,767,,,,,,,,,,,,,,,
289,9710.1,10,997,242,,,,,,,9,544,779,,,,,,,,,,,,,,,
290,9742.2,10,995,258,,,,,,,9,538,791,,,,,,,,,,,,,,,
