frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
1723,57443.8,14,147,987,16.01520049466359,107.53063189274124,-0.5477338944052749,-0.540130343073912,-10.900177003090047,10.82425537222316,13,869,538,94.67489272015415,58.613454871625926,-9.79838168864371,-5.431717636064325,-22.407727053122596,21.344824220973834,16,908,635,98.92382346363632,69.18130825926109,-4.351456949916643,-9.250647794238462,-0.30368652347107866,-11.507550050033087,15,945,951,102.95486032283736,103.60854197568078,-0.0076035513314065845,0.5477338944052481,-21.72443237531126,10.900177003089512
1724,57475.3,14,147,987,16.01520049466359,107.53063189274124,0.00882143617659375,0.0,-22.053590441604932,0.0,13,866,537,94.34805189373245,58.50450792948536,-10.399539191740072,-5.480405971581582,-32.23729065559132,0.44373421411510466,16,907,632,98.81487652149576,68.85446743283939,-4.927954656335121,-9.312279433600343,-10.627434428101857,-10.272447056808915,14,945,951,102.95486032283736,103.60854197568078,0.008821436176593199,-0.008821436176593199,-22.053590441603852,22.053590441603852
1725,57511.1,14,146,987,15.90625355252302,107.53063189274124,-0.5620466084428979,-0.5094507566844334,10.777499682509726,-10.260841020834961,13,863,535,94.02121106731073,58.286614045204225,-11.119232704441222,-5.3574868256368315,-47.170935810781984,2.583293308370653,15,905,629,98.59698263721462,68.52762660641767,-4.2859894605094215,-9.590880434387856,2.0666346466956784,-16.388412748275762,14,944,952,102.8459133806968,103.71748891782134,0.5094507566844334,0.05259585175843695,10.260841020834961,-21.03834070334416
1726,57543.6,14,146,987,15.90625355252302,107.53063189274124,-0.5466455125494346,-0.5433738260552917,10.921988262726124,-10.88925503116865,13,859,534,93.58542329874847,58.177667103063655,-13.073688690268945,-4.903451180474375,-43.229687809109436,-10.758322104942302,15,904,626,98.48803569507405,68.20078577999597,-4.903451180474375,-10.353547873498156,-10.758322104940884,-10.594655947156175,15,944,952,102.8459133806968,103.71748891782134,-0.0032716864941160066,0.0032716864941160066,21.81124329389424,-21.81124329389424
1727,57575.1,14,146,987,15.90625355252302,107.53063189274124,-0.5463727361659,-0.5441894307121066,10.927454723317997,-10.90559981387035,13,855,532,93.14963553018619,57.959773218782516,-14.717130989219164,-4.364431972965935,-54.287595065436314,21.92047417497698,15,902,623,98.27014181079291,67.87394495357427,-5.452810834390254,-10.903438363326673,0.1092745472369987,-21.61450544271808,14,944,952,102.8459133806968,103.71748891782134,-0.5463727361658732,0.5463727361658732,10.927454723317464,-10.927454723317464
1728,57615.4,14,146,986,15.90625355252302,107.42168495060068,0.0,-0.4990005756577963,0.0,10.461228001211502,13,850,530,92.60490081948335,57.74187933450138,-17.223079577788518,-3.0914513279689726,-69.87310778168452,40.868969350647454,16,901,619,98.16119486865234,67.43815718501199,-5.5746930007102895,-10.358041803696644,-26.778111927632057,1.6777441134000513,15,945,951,102.95486032283736,103.60854197568078,-0.09744787402199362,0.09744787402199362,-21.898398656624224,21.898398656624224
1729,57643.7,14,146,986,15.90625355252302,107.42168495060068,0.0,-0.5425546769355994,0.0,10.90562164694672,13,845,529,92.06016610878049,57.63293239236081,-19.12723882951666,-2.163655605991608,-77.72036492311436,65.49949242427908,15,899,616,97.9433009843712,67.11131635859029,-4.909244499424401,-10.36760677753533,10.642571476568731,10.313758763596242,14,945,951,102.95486032283736,103.60854197568078,-0.006563101750930381,-0.5425546769355994,-21.877005836487935,10.90562164694672
1730,57675.1,14,146,986,15.90625355252302,107.42168495060068,0.0,-0.5452789012230067,0.0,10.883810403652353,13,839,529,91.40648445593709,57.63293239236081,-20.672757273877767,-0.5496280805501057,-64.8249306277356,54.37560367333961,15,897,612,97.72540710009007,66.67552859002801,-4.898811752353217,-9.256693782810492,10.970707093503767,54.54939705304173,15,944,952,102.8459133806968,103.71748891782134,0.0,0.0,0.0,0.0
1731,57710.8,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,13,832,529,90.64385586095311,57.63293239236081,-23.300016449562783,1.54670629826955,-57.525988062637644,56.36703958516914,15,895,610,97.50751321580893,66.45763470574687,-5.103092471811835,-8.453712611130499,36.66491546847998,38.24529975591058,15,944,952,102.8459133806968,103.71748891782134,-0.584157444164363,0.584157444164363,11.694843727014957,-11.694843727014957
1732,57743.2,14,146,986,15.90625355252302,107.42168495060068,0.0,0.0,0.0,0.0,13,824,530,89.77228032382855,57.74187933450138,-25.154088180426317,3.8229733263809433,-43.422335597682725,54.8347574726566,15,895,607,97.50751321580893,66.13079387932517,-4.3753880236279965,-8.207147260878742,0.08821195652481792,33.11256317924982,14,944,951,102.8459133806968,103.60854197568078,-0.5480217418121891,0.5458252640947567,10.993415081487765,10.971362092356918
