frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
251,8602.7,7,408,955,,,,,,,43,407,951,,,,,,,,,,,,,,,
252,8638.5,7,411,950,,,,,,,42,410,945,,,,,,,,,,,,,,,
253,8674.3,7,413,944,,,,,,,43,412,940,,,,,,,,,,,,,,,
254,8702.8,7,415,941,,,,,,,43,415,936,,,,,,,,,,,,,,,
255,8738.5,8,419,937,,,,,,,42,417,932,,,,,,,,,,,,,,,
256,8770.8,8,421,934,,,,,,,43,420,930,,,,,,,,,,,,,,,
257,8803.0,7,422,931,,,,,,,43,422,927,,,,,,,,,,,,,,,
258,8839.3,7,425,929,,,,,,,43,425,925,,,,,,,,,,,,,,,
259,8870.7,7,428,928,,,,,,,43,427,924,,,,,,,,,,,,,,,
260,8905.4,7,431,928,,,,,,,43,430,923,,,,,,,,,,,,,,,
261,8944.1,7,432,928,,,,,,,43,433,924,,,,,,,,,,,,,,,
262,8970.9,7,436,930,,,,,,,43,435,925,,,,,,,,,,,,,,,
263,9002.9,7,438,930,,,,,,,43,438,927,,,,,,,,,,,,,,,
264,9039.0,7,440,933,,,,,,,43,441,929,,,,,,,,,,,,,,,
265,9070.7,7,443,936,,,,,,,43,443,932,,,,,,,,,,,,,,,
266,9103.0,8,445,939,,,,,,,42,446,935,,,,,,,,,,,,,,,
267,9140.3,7,448,944,,,,,,,43,448,940,,,,,,,,,,,,,,,
268,9170.6,8,450,949,,,,,,,43,451,944,,,,,,,,,,,,,,,
269,9202.9,7,453,954,,,,,,,43,454,950,,,,,,,,,,,,,,,
270,9238.9,8,455,960,,,,,,,43,456,956,,,,,,,,,,,,,,,
271,9270.6,7,458,965,,,,,,,43,459,962,,,,,,,,,,,,,,,
272,9303.2,7,460,961,,,,,,,43,461,958,,,,,,,,,,,,,,,
273,9338.6,8,463,958,,,,,,,42,463,954,,,,,,,,,,,,,,,
274,9370.8,6,465,956,,,,,,,42,465,951,,,,,,,,,,,,,,,
275,9402.7,8,467,953,,,,,,,43,467,949,,,,,,,,,,,,,,,
276,9438.4,8,468,951,,,,,,,42,469,948,,,,,,,,,,,,,,,
277,9470.7,8,470,951,,,,,,,42,471,947,,,,,,,,,,,,,,,
278,9502.9,8,472,950,,,,,,,43,473,947,,,,,,,,,,,,,,,
279,9538.7,7,474,949,,,,,,,43,476,947,,,,,,,,,,,,,,,
280,9570.8,7,476,951,,,,,,,43,478,947,,,,,,,,,,,,,,,
281,9602.8,7,479,953,,,,,,,43,480,950,,,,,,,,,,,,,,,
282,9638.5,7,480,955,,,,,,,43,482,952,,,,,,,,,,,,,,,
283,9670.7,7,483,958,,,,,,,43,484,955,,,,,,,,,,,,,,,
284,9702.9,7,485,962,,,,,,,43,487,960,,,,,,,,,,,,,,,
285,9738.8,7,487,964,,,,,,,43,490,962,,,,,,,,,,,,,,,
286,9776.3,7,489,962,,,,,,,43,491,959,,,,,,,,,,,,,,,
287,9802.9,7,491,960,,,,,,,43,492,957,,,,,,,,,,,,,,,
288,9838.8,7,493,958,,,,,,,42,495,956,,,,,,,,,,,,,,,
289,9870.9,8,496,958,,,,,,,43,498,955,,,,,,,,,,,,,,,
290,9903.7,8,498,957,,,,,,,43,500,955,,,,,,,,,,,,,,,
291,9939.3,7,500,958,,,,,,,43,502,956,,,,,,,,,,,,,,,
292,9970.8,8,503,961,,,,,,,43,504,958,,,,,,,,,,,,,,,
293,10003.5,7,504,961,,,,,,,43,507,960,,,,,,,,,,,,,,,
294,10038.5,7,507,964,,,,,,,43,509,962,,,,,,,,,,,,,,,
295,10070.8,8,509,962,,,,,,,43,511,960,,,,,,,,,,,,,,,
296,10103.4,7,511,961,,,,,,,43,513,959,,,,,,,,,,,,,,,
297,10138.7,7,514,960,,,,,,,43,516,959,,,,,,,,,,,,,,,
298,10170.6,7,516,960,,,,,,,43,518,959,,,,,,,,,,,,,,,
299,10203.1,8,518,961,,,,,,,43,520,960,,,,,,,,,,,,,,,
300,10238.7,7,521,963,,,,,,,43,522,962,,,,,,,,,,,,,,,
301,10270.9,7,522,962,,,,,,,43,525,962,,,,,,,,,,,,,,,
302,10302.9,7,524,961,,,,,,,43,527,961,,,,,,,,,,,,,,,
303,10340.2,8,527,961,,,,,,,43,529,961,,,,,,,,,,,,,,,
304,10370.5,7,529,961,,,,,,,43,531,961,,,,,,,,,,,,,,,
305,10402.9,7,531,962,,,,,,,43,533,962,,,,,,,,,,,,,,,
306,10445.9,7,534,962,,,,,,,43,536,961,,,,,,,,,,,,,,,
307,10481.2,7,536,961,,,,,,,43,538,961,,,,,,,,,,,,,,,
308,10509.9,7,538,961,,,,,,,43,540,962,,,,,,,,,,,,,,,
309,10545.4,7,540,961,,,,,,,43,543,961,,,,,,,,,,,,,,,
310,10570.7,7,543,962,,,,,,,43,544,962,,,,,,,,,,,,,,,
311,10603.1,8,545,961,,,,,,,43,546,962,,,,,,,,,,,,,,,
312,10638.9,7,547,962,,,,,,,43,549,962,,,,,,,,,,,,,,,
313,10676.6,7,550,961,,,,,,,43,551,962,,,,,,,,,,,,,,,
314,10705.9,7,552,962,,,,,,,43,553,962,,,,,,,,,,,,,,,
315,10738.8,7,554,961,,,,,,,43,555,962,,,,,,,,,,,,,,,
316,10774.0,8,557,962,,,,,,,43,557,962,,,,,,,,,,,,,,,
317,10804.5,8,559,961,,,,,,,43,559,962,,,,,,,,,,,,,,,
318,10838.8,7,561,961,,,,,,,43,561,962,,,,,,,,,,,,,,,
319,10870.9,7,562,961,,,,,,,43,563,962,,,,,,,,,,,,,,,
320,10903.0,7,564,961,,,,,,,43,565,962,,,,,,,,,,,,,,,
321,10938.8,7,567,962,,,,,,,43,567,962,,,,,,,,,,,,,,,
322,10975.9,7,569,961,,,,,,,43,569,962,,,,,,,,,,,,,,,
323,11005.3,7,571,961,,,,,,,43,572,962,,,,,,,,,,,,,,,
324,11038.8,8,574,961,,,,,,,43,574,962,,,,,,,,,,,,,,,
325,11070.9,7,576,961,,,,,,,43,575,962,,,,,,,,,,,,,,,
